Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
1,877.0,49,44,7,38.21320343559643,67105.0,29,12.529964086141668,0.8684818962635551,295.76370494992364,0.8627450980392157,21,1721.0,1.0066494706691207
2,289.0,7,45,6,46.455844122715696,22117.0,22,5.0,1.0323520916159044,68.5006559770127,0.8823529411764706,4,1169.0,1.1699990371646916
3,853.0,50,42,9,43.698484809834994,68648.0,31,19.026297590440446,1.0404401145198807,343.63871593518235,0.8235294117647058,24,1286.0,1.2633915676312837
4,1825.0,49,40,11,43.870057685088796,110341.0,25,9.848857801796104,1.09675144212722,143.71708506038703,0.7843137254901961,10,2407.0,1.3983580887122056
5,1717.0,49,42,9,39.970562748477136,109496.0,28,12.727922061357855,0.9516800654399318,254.58597609329473,0.8235294117647058,11,1863.0,1.1556115080342029
6,325.0,50,44,7,38.14213562373095,22861.0,25,7.0710678118654755,0.866866718721158,55.50581779691309,0.8627450980392157,4,954.0,1.0047773330631602
7,788.0,3,38,13,39.62741699796951,46860.0,19,1.4142135623730951,1.0428267631044608,69.22815529524435,0.7450980392156863,2,1313.0,1.3995832873244078
8,1044.0,46,42,9,38.62741699796952,67656.0,26,11.40175425099138,0.91970040471356,222.0080528896783,0.8235294117647058,15,1624.0,1.1167790628664658
9,1233.0,49,43,8,42.04163056034262,96726.0,30,13.92838827718412,0.9777123386126191,356.78873720851476,0.8431372549019608,18,2282.0,1.1596123085870598
10,1517.0,50,37,14,32.38477631085024,96541.0,22,7.0710678118654755,0.8752642246175741,174.43364498096585,0.7254901960784313,9,1534.0,1.2064452825809806
11,850.0,46,43,8,41.69848480983499,58838.0,27,9.848857801796104,0.9697322048798834,234.5410612653018,0.8431372549019608,14,1692.0,1.1501474988110245
12,1252.0,45,43,8,46.11269837220809,82822.0,26,8.246211251235321,1.0723883342373974,149.74775664093502,0.8431372549019608,10,1827.0,1.2719024429327273
13,1000.0,39,41,10,41.4558441227157,60424.0,23,5.385164807134504,1.0111181493345294,107.06206990696715,0.803921568627451,6,1854.0,1.2577323320990488
14,481.0,5,45,6,46.35533905932736,33508.0,24,4.242640687119285,1.0301186457628302,119.44471035260943,0.8823529411764706,3,1157.0,1.1674677985312076
15,1313.0,40,43,8,42.8700576850888,88549.0,29,12.806248474865697,0.9969780856997396,371.6389162138409,0.8431372549019608,16,2576.0,1.1824623807136445
16,1313.0,45,40,11,35.21320343559643,81742.0,24,12.806248474865697,0.8803300858899107,230.0760585004821,0.7843137254901961,11,1514.0,1.122420859509636
17,1994.0,46,36,15,35.97056274847715,124811.0,20,10.0,0.9991822985688097,249.672811654897,0.7058823529411765,12,2609.0,1.4155082563058137
18,977.0,50,44,7,44.04163056034261,71217.0,32,10.770329614269007,1.0009461490986957,253.1607391788697,0.8627450980392157,13,1996.0,1.1601875819098517
19,676.0,50,45,6,42.384776310850235,39955.0,31,14.142135623730951,0.9418839180188942,83.05520368345636,0.8823529411764706,10,1196.0,1.0674684404214134
20,229.0,5,48,3,48.284271247461895,18458.0,29,1.4142135623730951,1.0059223176554561,58.749999795496,0.9411764705882353,2,1104.0,1.0687924625089222
21,1637.0,44,38,13,40.4558441227157,116522.0,26,13.341664064126334,1.064627476913571,346.8933182416125,0.7450980392156863,15,2257.0,1.4288421400682139
22,1730.0,47,36,15,33.213203435596434,106464.0,22,13.92838827718412,0.9225889843221231,343.013253785044,0.7058823529411765,15,2072.0,1.3070010611230076
23,373.0,45,46,5,46.52691193458118,37778.0,31,12.649110640673518,1.0114546072735038,216.0441896643728,0.9019607843137255,18,1510.0,1.1213953254554063
24,360.0,47,42,9,40.870057685088796,35580.0,26,13.0,0.9730966115497333,187.9191339984357,0.8235294117647058,17,1354.0,1.1816173140246762
25,346.0,49,41,10,43.62741699796952,31419.0,23,15.297058540778355,1.0640833414138906,153.07904042756397,0.803921568627451,15,1503.0,1.3236158637099615
26,596.0,50,43,8,45.284271247461895,44806.0,29,3.605551275463989,1.0531225871502767,122.5660788126528,0.8431372549019608,6,1385.0,1.249052370806142
27,232.0,50,43,8,44.627416997969505,20244.0,25,10.198039027185569,1.0378469069295233,95.72620510452693,0.8431372549019608,13,1002.0,1.2309347035675742
28,1220.0,50,40,11,41.62741699796952,90879.0,33,12.529964086141668,1.0406854249492379,305.37186663468077,0.7843137254901961,21,1973.0,1.3268739168102783
29,149.0,47,47,4,48.28427124746189,12978.0,31,8.246211251235321,1.0273249201587635,86.40995606697828,0.9215686274509803,15,958.0,1.1147568282573819
30,457.0,8,43,8,40.970562748477136,29689.0,23,5.385164807134504,0.9528037848483055,74.08448267253132,0.8431372549019608,5,1336.0,1.1300696052851995
31,1856.0,50,35,16,32.38477631085024,112711.0,20,7.211102550927978,0.9252793231671498,192.24703166540684,0.6862745098039216,9,2112.0,1.3482641566149898
32,1625.0,48,40,11,38.798989873223334,115042.0,33,8.54400374531753,0.9699747468305834,327.1748395350102,0.7843137254901961,11,2393.0,1.2367178022089937
33,1301.0,43,41,10,40.04163056034261,91210.0,26,13.0,0.9766251356181125,324.70017874123,0.803921568627451,13,2272.0,1.214826388207896
34,1600.0,50,44,7,48.69848480983499,103549.0,31,11.180339887498949,1.1067837456780678,220.33966299688518,0.8627450980392157,13,2281.0,1.2828629779450331
35,1300.0,32,38,13,37.55634918610404,73462.0,26,2.23606797749979,0.9883249785816853,82.93376873237659,0.7450980392156863,4,1858.0,1.3264361554648934
36,1665.0,41,40,11,41.2842712474619,103749.0,25,10.770329614269007,1.0321067811865476,234.12358845549986,0.7843137254901961,8,2067.0,1.3159361460128483
37,1237.0,50,41,10,45.4558441227157,90858.0,33,18.439088914585774,1.1086791249442856,267.11775716670655,0.803921568627451,16,2428.0,1.3790886676136234
38,1093.0,47,42,9,44.870057685088796,81959.0,30,15.0,1.0683347067878284,359.6167328428438,0.8235294117647058,18,1994.0,1.2972635725280774
39,2249.0,40,38,13,38.384776310850235,125280.0,20,3.1622776601683795,1.0101256923907957,120.60620621711534,0.7450980392156863,5,2556.0,1.3556950082086996
40,481.0,49,46,5,47.28427124746189,46440.0,36,12.041594578792296,1.0279189401622149,266.73076507606373,0.9019607843137255,18,1681.0,1.1396492597450643
41,410.0,45,39,12,39.21320343559643,42035.0,31,16.1245154965971,1.0054667547588827,310.6100457780696,0.7647058823529411,21,1402.0,1.314841140838539
42,788.0,28,42,9,43.45584412271571,54461.0,29,9.0,1.034662955302755,164.51843208110517,0.8235294117647058,12,1622.0,1.2563764457247741
43,530.0,49,46,5,46.28427124746189,42326.0,28,8.602325267042627,1.0061798097274324,142.70315317802607,0.9019607843137255,11,1686.0,1.1155471803499795
44,1010.0,47,42,9,44.2842712474619,67778.0,27,11.180339887498949,1.0543874106538549,175.77888184252112,0.8235294117647058,12,1884.0,1.280327570079681
45,1105.0,40,42,9,42.970562748477136,71464.0,23,8.48528137423857,1.0231086368685032,198.51249213788614,0.8235294117647058,14,1718.0,1.242346201911754
46,1898.0,47,36,15,35.384776310850235,130546.0,25,11.180339887498949,0.9829104530791732,319.43443148307693,0.7058823529411765,16,2387.0,1.3924564751954953
47,58.0,6,45,6,41.62741699796952,7971.0,25,3.0,0.9250537110659893,53.60578477623805,0.8823529411764706,4,639.0,1.048394205874788
48,1573.0,24,40,11,41.21320343559642,95461.0,27,7.810249675906654,1.0303300858899105,219.4640810957358,0.7843137254901961,5,2414.0,1.3136708595096358
49,2257.0,50,40,11,39.21320343559643,131812.0,25,9.055385138137417,0.9803300858899107,158.90980469577892,0.7843137254901961,13,2162.0,1.249920859509636
50,1145.0,50,45,6,48.455844122715696,85894.0,32,14.035668847618199,1.0767965360603489,266.615094494052,0.8823529411764706,18,2521.0,1.2203694075350622
