Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio,Exact Sequence (Compressed)
1,1137860.0,64,85,16,88.98275605729683,1.16367259E8,53,11.704699910719626,1.0468559536152569,7706.085672360885,0.8415841584158416,15,121693.0,1.2439111919428347,"1162621P-1163441P-C-1162621P-C-1162621P-C-1162621P-C-1163682P-1160744P-1159685P-C-1160744P-C-1158869P-1159685P-C-1157810P-C-1154880P-C-1151954P-C-1154880P-C-1153825P-C-1151954P-C-1149032P-1148218P-1150085P-1153009P-1152197P-1150330P-C-1151389P-1150330P-C-1150330P-C-1149524P-C-1146602P-1144741P-C-1144741P-C-1146602P-C-1146602P-C-1145545P-1144741P-C-1144741P-C-1144741P-C-1143941P-1145800P-1146602P-C-1145800P-C-1145800P-C-1142882P-1139968P-1140770P-C-1141825P-1143684P-C-1142629P-1141576P-C-1142629P-C-1141576P-C-1138666P-1139717P-1137860P-1138666P-C-1140525P-1141576P-C-1144490P-1143684P-C-1146602P-C-1148465P-1151389P-C-1154317P-1157249P-1160185P-C-1159120P-1158314P-C-1159381P-1162321P-1161521P-1159652P-C-1162594P-1161800P-1164746P-1161800P-C-1159933P-1156993P-1157785P-C-1157785P-C-1158581P-C-1157512P-1158314P-C-1159120P-C-1159120P-C-1159120P-C"
2,247882.0,88,95,6,97.74011537017755,2.5620086E7,49,10.295630140987,1.0288433196860796,3338.973132014699,0.9405940594059405,17,62042.0,1.0938228977715163,"258196P-258769P-257930P-257357P-257093P-256258P-C-257093P-C-255685P-257093P-C-255685P-C-255425P-255685P-C-256258P-C-256520P-C-257357P-C-257093P-C-257668P-258505P-258245P-C-259082P-259661P-259405P-260242P-259405P-C-257989P-258245P-C-257989P-C-257410P-258824P-257989P-C-257410P-C-256000P-C-255425P-C-255425P-C-256000P-C-256833P-256258P-C-254852P-254281P-255114P-253712P-253145P-252881P-C-252052P-250658P-249833P-251225P-252052P-C-251225P-C-249833P-C-250093P-250357P-249796P-250625P-C-252017P-251749P-C-251749P-C-252314P-C-252314P-C-250920P-250658P-C-250920P-C-250920P-C-250920P-C-250658P-C-250658P-C-250658P-C-250658P-C-251225P-C-251794P-252621P-253192P-251794P-C-251225P-C-249833P-C-248445P-249268P-249010P-249268P-C-248445P-C-247882P-248705P-250093P-C-250357P-C-249530P-250920P-C-251749P-C-251749P-C-250920P-C-250658P-C-250658P-C-251485P-252314P-C"
3,631618.0,96,92,9,97.15432893255064,6.5226738E7,60,22.80350850198276,1.0560253144842462,7108.496197149143,0.9108910891089109,31,98150.0,1.1593321387272701,"664786P-663197P-661249P-C-660890P-661249P-C-659664P-659305P-658948P-C-657722P-655784P-654205P-654562P-C-652628P-C-652273P-650698P-651053P-649480P-649125P-648772P-646850P-C-645632P-644418P-C-642500P-642149P-641800P-643714P-C-641800P-C-643018P-644932P-643714P-C-645281P-C-646850P-C-646501P-644585P-C-645809P-C-645809P-C-646154P-645809P-C-647037P-648269P-648610P-647037P-C-645809P-C-645466P-643897P-642673P-644240P-C-645466P-C-643556P-644786P-643217P-641650P-640085P-641989P-642330P-644240P-C-646154P-C-645809P-C-647380P-646154P-C-646154P-C-647725P-C-646154P-C-646154P-C-645809P-C-644585P-C-642673P-C-642330P-C-642673P-C-640765P-C-641989P-C-640085P-C-639748P-638522P-636961P-C-636624P-638522P-C-636961P-C-635065P-633845P-633508P-C-631618P-632840P-634730P-C-635956P"
4,249218.0,17,92,9,93.39696961966992,2.5485328E7,41,7.615773105863909,1.0151844523877165,1516.5965869435001,0.9108910891089109,4,60442.0,1.114495974903906,"251600P-250601P-251681P-250765P-C-251681P-C-251764P-251849P-252937P-252025P-251117P-250120P-250029P-C-251117P-C-250213P-C-249218P-250213P-C-250213P-C-251210P-252209P-252116P-253026P-252025P-C-252025P-C-253026P-C-252937P-C-252937P-C-252937P-C-252025P-C-253117P-254029P-252937P-C-252937P-C-252937P-C-253026P-C-253026P-C-254120P-253210P-254308P-253305P-254213P-253305P-C-254213P-C-253305P-C-252401P-253402P-252304P-C-251210P-C-250213P-C-250213P-C-250213P-C-251210P-C-250120P-C-251026P-251117P-C-252209P-C-252304P-C-252304P-C-252304P-C-251402P-250405P-C-250504P-251602P-250504P-C-251501P-251402P-C-251305P-250405P-C-250308P-251210P-C-252209P-C-252209P-C-252209P-C-251210P-C-252304P-C-253402P-C-254405P-255313P-255218P-C-254308P-C-254405P-C-254405P-C-254405P-C-253305P-C-253305P-C-252209P-C-252304P-C-253402P-C-254504P-254605P-255509P-254405P-C-254308P-C-254308P-C-254308P-C-255218P-C"
5,46180.0,100,100,1,105.811183182043,5065396.0,56,13.601470508735444,1.05811183182043,2100.2840892982167,0.9900990099009901,17,32855.0,1.0686929501386342,"52001P-52354P-52709P-53000P-C-52645P-52292P-52001P-C-52001P-C-52645P-C-52001P-C-52645P-C-52292P-C-52938P-C-52880P-52529P-C-53177P-52880P-C-52938P-C-52585P-52292P-C-51650P-51592P-51885P-51941P-51592P-C-51245P-51538P-51885P-C-52234P-52585P-C-52292P-C-52938P-C-52292P-C-52585P-C-51941P-C-51592P-C-51301P-51941P-C-52001P-C-52001P-C-51361P-51012P-50665P-50033P-50320P-C-50320P-C-50954P-51245P-C-50609P-50320P-C-50378P-49748P-49465P-C-48841P-C-49122P-48500P-48161P-48221P-C-47944P-48221P-C-48841P-C-48221P-C-48562P-48841P-C-48905P-48285P-47669P-48010P-47669P-C-47737P-47809P-47197P-47273P-47197P-C-47540P-47618P-48232P-48501P-48232P-C-48501P-C-48154P-48772P-48501P-C-48154P-C-47540P-C-47466P-46856P-46786P-47125P-C-47125P-C-47396P-46786P-C-46180P"
6,1603250.0,100,87,14,96.2253967444161,1.63796681E8,59,16.1245154965971,1.1060390430392655,10374.337685581146,0.8613861386138614,20,159106.0,1.284022337321446,"1641658P-1640025P-C-1639685P-C-1641658P-C-1643633P-1642000P-1640369P-1636765P-1635138P-1631540P-1631890P-C-1633865P-1632244P-1628650P-1629008P-1632602P-1629008P-C-1627033P-1623445P-1621474P-1623445P-C-1625418P-C-1625418P-C-1623445P-C-1627033P-C-1627393P-C-1627757P-C-1624169P-1627757P-C-1627757P-C-1629736P-1631717P-1628125P-1631717P-C-1633330P-1632964P-1631349P-1627757P-C-1625780P-1623805P-1627393P-C-1625780P-C-1625780P-C-1625780P-C-1623805P-C-1620221P-1619861P-1621474P-C-1621474P-C-1619505P-1615925P-1617892P-1615925P-C-1617892P-C-1618250P-1614672P-1616641P-1616281P-1615925P-C-1615925P-C-1615573P-1611997P-1610386P-1612349P-1613960P-1617538P-1613960P-C-1617538P-C-1617538P-C-1617538P-C-1617188P-1613610P-1613264P-1612922P-1609348P-C-1609690P-C-1610036P-1606466P-C-1606816P-1607170P-C-1607170P-C-1609133P-C-1608777P-C-1605209P-1607170P-C-1608777P-C-1608777P-C-1606816P-C-1603250P"
7,235700.0,44,93,8,102.88225099390847,2.4095202E7,37,10.816653826391969,1.1062607633753598,2143.2448268466947,0.9207920792079208,15,59817.0,1.2014229795796918,"246317P-245786P-245257P-C-245257P-C-244420P-243058P-241700P-241394P-240869P-241177P-C-241177P-C-239825P-238996P-238690P-237865P-238388P-238913P-239213P-238388P-C-237565P-237865P-C-239213P-C-239213P-C-239738P-238388P-C-237865P-C-237042P-237344P-236825P-C-236825P-C-236825P-C-236825P-C-237344P-C-237865P-C-237565P-C-237865P-C-237865P-C-237565P-C-237042P-C-237042P-C-237042P-C-235700P-237042P-C-236521P-237865P-C-238169P-236825P-C-237133P-237650P-238996P-C-238169P-C-238477P-238789P-239306P-238996P-C-237650P-C-238169P-C-237650P-C-237133P-C-237445P-C-238274P-236932P-238274P-C-238274P-C-237960P-238274P-C-237960P-C-238477P-C-237133P-C-236825P-C-238169P-C-238996P-C-238996P-C-237650P-C-236825P-C-238169P-C-237344P-C-237042P-C-238388P-C-238913P-C-238913P-C-239213P-C-239738P-C-240040P-239517P-238169P-C-236825P-C-236825P-C-237133P-C-235793P-237133P-C-237960P-C-237133P-C-237445P-C-237133P-C-236618P-236932P-C"
8,259025.0,94,95,6,97.32590180780446,2.6650792E7,51,13.038404810405298,1.0244831769242575,3507.6001157350756,0.9405940594059405,15,62779.0,1.0891873775721055,"272005P-273032P-273874P-C-272845P-273032P-C-273032P-C-272194P-271360P-270146P-269957P-269125P-268106P-267089P-265885P-265061P-263861P-262665P-262852P-263041P-264241P-C-264050P-262852P-C-262852P-C-263041P-C-261845P-263041P-C-262852P-C-263861P-C-262852P-C-262665P-C-263861P-C-263861P-C-263861P-C-263861P-C-263674P-262480P-C-263489P-263674P-C-263489P-C-263489P-C-264500P-264685P-C-264872P-265885P-C-265885P-C-267089P-C-266265P-265445P-264434P-264241P-C-263041P-C-262034P-C-261845P-C-260653P-260840P-261845P-C-262852P-C-261658P-260840P-C-260840P-C-260026P-261220P-260217P-261029P-262034P-C-263232P-263425P-264434P-C-263620P-263425P-C-262613P-C-262613P-C-261413P-262225P-262418P-263620P-C-263817P-262810P-261608P-261413P-C-261413P-C-261220P-C-261220P-C-260026P-C-261220P-C-260026P-C-260217P-C-259216P-259025P-260217P-C-260410P-260605P-260410P-C-260410P-C-259216P-C"
9,125885.0,70,97,4,104.98275605729683,1.3203401E7,52,12.206555615733702,1.0822964541989364,2085.1405425646585,0.9603960396039604,17,42711.0,1.1269272358153875,"134690P-134249P-133664P-134249P-C-133225P-132788P-132205P-131624P-131482P-131624P-C-132205P-C-132061P-132642P-133081P-132642P-C-132205P-C-131770P-131189P-131337P-130756P-130325P-130477P-131489P-131337P-C-131337P-C-130906P-130477P-C-131489P-C-131645P-132074P-131489P-C-131489P-C-131645P-C-132074P-C-132074P-C-132232P-132821P-132394P-132560P-C-132985P-133153P-132560P-C-132394P-C-131380P-131969P-C-132394P-C-132394P-C-132394P-C-131805P-132232P-C-132074P-C-132505P-131920P-131770P-C-131624P-C-131482P-C-131344P-130769P-129757P-129320P-129186P-C-128749P-127745P-126745P-127178P-126745P-C-126881P-125885P-126881P-C-126881P-C-126314P-126881P-C-125885P-C-126881P-C-127021P-C-126881P-C-127312P-127745P-C-128314P-128885P-129320P-C-129893P-130033P-129600P-130177P-130033P-C-130177P-C-131189P-C-131770P-C-130756P-C-131337P-C-131489P-C-131337P-C-130325P-C-130325P-C-130325P-C-131337P-C"
10,546938.0,84,89,12,102.95331880577395,5.5956471E7,41,9.219544457292887,1.1567788629862241,3482.52607920795,0.8811881188118812,13,94354.0,1.3127490467596477,"558881P-559885P-C-559458P-560468P-C-562330P-560893P-559885P-C-559885P-C-559885P-C-559885P-C-559885P-C-559885P-C-558452P-559458P-C-558025P-556169P-557177P-556169P-C-556169P-C-554740P-C-553313P-555165P-556169P-C-555165P-C-555165P-C-555165P-C-554740P-C-553738P-555592P-556021P-554165P-552313P-553313P-C-551465P-551888P-C-552890P-C-551888P-C-550890P-549896P-548906P-550756P-552177P-554033P-555025P-556021P-C-557021P-556021P-C-556021P-C-554165P-C-553169P-551317P-552313P-C-553738P-C-553738P-C-555592P-C-556021P-C-555592P-C-554165P-C-552740P-554594P-556021P-C-555025P-C-553600P-553169P-C-554594P-C-553600P-C-553600P-C-552177P-C-553169P-C-551317P-C-551317P-C-550325P-551317P-C-550325P-C-549337P-548906P-C-547920P-547489P-547920P-C-546938P-548788P-549770P-550756P-C-548906P-C-548906P-C-549896P-C-550890P-C-551317P-C-549896P-C-550890P-C-551888P-C-553738P-C-554165P-C-552740P-C-553169P-C-553169P-C"
