Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio,Exact Sequence (Compressed)
11,345377.0,27,91,10,98.0538238691623,3.5445044E7,45,11.045361017187261,1.0775145480127726,2829.262764607936,0.900990099009901,14,68287.0,1.1959227401020882,"357649P-358217P-357649P-C-356057P-355546P-354980P-353905P-C-353905P-C-353345P-C-353905P-C-353345P-C-352832P-C-351250P-349672P-349114P-348605P-348049P-C-346477P-348049P-C-347497P-345925P-346477P-C-345925P-C-345377P-346436P-C-346949P-348010P-349073P-348525P-349588P-350653P-C-349073P-C-348525P-C-347464P-C-349042P-349588P-C-349588P-C-349588P-C-349042P-C-347464P-C-347464P-C-346949P-C-346949P-C-348525P-C-349073P-C-350138P-348560P-350138P-C-350138P-C-350138P-C-350692P-350181P-351250P-C-350181P-C-350741P-350181P-C-349625P-C-350181P-C-350181P-C-350692P-C-351205P-352789P-352237P-353306P-351720P-352237P-C-352756P-353306P-C-352756P-C-353277P-C-353825P-354377P-352789P-C-352789P-C-352274P-C-352832P-C-353345P-C-353905P-C-354418P-355493P-354933P-354418P-C-353345P-C-353345P-C-352274P-C-351205P-C-351720P-C-351720P-C-350653P-C-349588P-C-348010P-C"
12,335050.0,97,95,6,105.3969696196699,3.4634118E7,59,17.204650534085253,1.1094417854702094,3833.857302802637,0.9405940594059405,9,81312.0,1.1795117929735912,"340786P-341536P-C-340786P-C-339677P-340786P-C-341897P-342649P-343764P-342649P-C-343010P-C-343373P-344853P-343373P-C-343373P-C-344853P-C-344853P-C-345220P-346337P-346706P-347077P-345960P-345589P-347077P-C-345589P-C-345589P-C-344474P-345960P-C-347077P-C-348569P-348944P-350065P-349690P-350065P-C-348944P-C-349690P-C-348944P-C-347825P-349321P-347825P-C-347450P-345960P-C-345218P-344480P-345970P-344480P-C-345593P-C-344857P-345236P-344857P-C-345970P-C-346349P-345236P-C-344506P-344889P-C-344165P-342673P-343780P-344165P-C-342673P-C-341185P-342290P-340804P-339701P-340425P-340804P-C-341530P-C-342260P-341885P-341153P-339673P-338945P-340048P-341530P-C-340425P-C-340425P-C-340425P-C-341909P-342290P-C-341568P-340465P-339749P-338650P-337553P-336458P-335752P-336141P-C-335441P-C-336141P-C-336845P-335752P-C-335050P-336141P-C-336845P-C-336458P-C"
13,838210.0,65,88,13,92.32590180780446,8.59271E7,57,17.69180601295413,1.049157975088687,9672.913127426917,0.8712871287128713,22,100104.0,1.2041472214086066,"868257P-866560P-868257P-C-869956P-869189P-871657P-C-869956P-C-869189P-C-866725P-864265P-865201P-866141P-865384P-866141P-C-866141P-C-867085P-864629P-862177P-C-863125P-861426P-859729P-C-857285P-856341P-855592P-853154P-854100P-853154P-C-853901P-852212P-851274P-850340P-C-852025P-C-852025P-C-852778P-C-852778P-C-852778P-C-850340P-C-851274P-C-850525P-C-849778P-C-848840P-C-847906P-846225P-845476P-844546P-843797P-844729P-845665P-844729P-C-845476P-C-846225P-C-846225P-C-845476P-C-843797P-C-841373P-840628P-838210P-C-839144P-841562P-843241P-844181P-845125P-843442P-841761P-842705P-C-841970P-841237P-C-839556P-840289P-C-840289P-C-841024P-841761P-C-842500P-843241P-C-842305P-843984P-845665P-C-845665P-C-844729P-C-844729P-C-844729P-C-842305P-C-841562P-C-840628P-C-841562P-C-841562P-C-839885P-842305P-C"
14,870245.0,66,91,10,91.98275605729683,8.9651775E7,47,15.0,1.0107995171131519,10292.105760998993,0.900990099009901,17,92222.0,1.1218763871255861,"898088P-898042P-C-898042P-C-899405P-898088P-C-898138P-895460P-C-896825P-895460P-C-896773P-898088P-C-898088P-C-899453P-898138P-C-899453P-C-898138P-C-898088P-C-898042P-C-900724P-C-902089P-C-902089P-C-902137P-900770P-900820P-898138P-C-896825P-C-899505P-902189P-899505P-C-899505P-C-898192P-C-898192P-C-898138P-C-898192P-C-895514P-892840P-894205P-891533P-C-890228P-888865P-C-887504P-887562P-887504P-C-887562P-C-887562P-C-888925P-888989P-C-888925P-C-887562P-C-886201P-883541P-882242P-880885P-878233P-876938P-874292P-874234P-871592P-870245P-872885P-872833P-872885P-C-874234P-C-874234P-C-871592P-C-874234P-C-874234P-C-874234P-C-875585P-C-878233P-C-879588P-879650P-879716P-879650P-C-879650P-C-879650P-C-879650P-C-879588P-C-878233P-C-876880P-878233P-C-878233P-C-878177P-C-878233P-C-876880P-C-875585P-C-875529P-C-875477P-C-876826P"
15,1486861.0,92,87,14,91.32590180780446,1.52026233E8,52,15.652475842498529,1.0497230092851086,9449.84415491085,0.8613861386138614,20,120507.0,1.2186439533079998,"1522484P-1520641P-1522282P-C-1522282P-C-1520641P-C-1520641P-C-1517161P-1515322P-1518800P-1518602P-1516765P-1516961P-C-1516961P-C-1516765P-C-1516961P-C-1513485P-1513685P-1513485P-C-1513289P-C-1514930P-1513097P-1514740P-1518218P-1516573P-1514930P-C-1515124P-1513485P-C-1510013P-1508180P-C-1504714P-C-1506545P-C-1506745P-1506545P-C-1506745P-C-1506949P-1507157P-C-1508996P-1509210P-1505744P-1507369P-1508996P-C-1507369P-C-1503905P-1500445P-1502282P-1503905P-C-1503905P-C-1502068P-1503905P-C-1505744P-C-1507585P-1505962P-1502500P-1502282P-C-1502282P-C-1502500P-C-1500661P-C-1500881P-1501105P-1500881P-C-1501105P-C-1501105P-C-1499264P-1497649P-C-1499264P-C-1497425P-1499264P-C-1499264P-C-1499042P-1497205P-1495588P-C-1495588P-C-1493973P-C-1495588P-C-1495810P-1497425P-C-1497425P-C-1497425P-C-1493973P-C-1490525P-1490305P-1486861P-1488474P-C-1486861P-C-1486861P-C-1490305P-C-1492138P-C-1490525P-C"
16,297713.0,12,89,12,84.91168824543136,3.0593075E7,37,2.8284271247461903,0.9540639128700154,3084.2647081472364,0.8811881188118812,1,62830.0,1.0827017438187814,"298525P-299476P-299066P-300017P-299066P-C-299066P-C-299609P-299066P-C-299066P-C-300017P-C-299609P-C-298660P-297713P-298117P-299609P-C-301105P-301652P-C-301105P-C-301105P-C-301513P-C-301513P-C-301513P-C-301105P-C-300701P-C-299752P-300301P-301250P-C-300701P-C-299752P-C-299752P-C-299752P-C-299752P-C-299752P-C-300301P-C-301801P-303305P-C-303305P-C-302909P-C-303305P-C-301801P-C-300301P-C-300701P-C-300701P-C-299752P-C-299752P-C-300701P-C-301250P-C-301250P-C-302752P-301250P-C-301250P-C-300852P-301250P-C-302752P-C-303705P-302752P-C-302752P-C-304258P-304660P-305617P-C-304660P-C-303154P-303705P-C-304258P-C-303705P-C-303705P-C-305213P-C-304660P-C-306170P-305617P-C-305617P-C-306170P-C-307684P-308090P-307129P-C-308645P-307129P-C-307129P-C-307129P-C-308645P-C-309053P-307537P-C-306986P-308500P-C-308090P-C-306576P-308090P-C-307537P-C-306986P-C-306437P"
17,11061.0,99,97,4,107.29646455628158,1327219.0,48,17.88854381999832,1.1061491191369235,1339.8644722653182,0.9603960396039604,22,16730.0,1.1517635158023636,"14837P-14596P-14330P-14544P-14330P-C-14093P-14305P-14569P-14330P-C-14544P-C-14544P-C-14810P-14596P-C-14596P-C-14330P-C-14305P-C-14569P-C-14837P-C-15109P-14897P-15109P-C-15140P-14866P-15080P-14837P-C-15053P-14810P-C-14596P-C-14596P-C-14866P-C-14837P-C-14569P-C-14544P-C-14305P-C-14093P-C-14068P-13833P-14068P-C-14330P-C-14305P-C-14305P-C-14045P-14024P-13770P-13520P-13537P-13325P-13096P-13117P-C-13346P-13140P-C-13369P-13117P-C-12890P-12665P-12421P-C-12644P-12402P-12164P-11962P-11764P-11785P-11764P-C-11745P-11962P-C-11728P-11498P-C-11300P-11530P-11549P-11764P-C-11745P-C-11549P-C-11785P-C-11785P-C-12002P-11785P-C-12002P-C-12200P-11962P-C-11745P-C-11745P-C-11745P-C-11728P-C-11530P-C-11300P-C-11300P-C-11317P-11530P-C-11530P-C-11728P-C-11962P-C-11728P-C-11498P-C-11272P-11061P-11285P"
18,449800.0,0,89,12,95.15432893255065,4.6194846E7,54,0.0,1.069149763287086,3413.5348837686743,0.8811881188118812,0,79238.0,1.2133047875505134,"449800P-C-449800P-C-451082P-452484P-451082P-C-451025P-452368P-C-453658P-C-454952P-453605P-454952P-C-454952P-C-456250P-C-454952P-C-454952P-C-453554P-454852P-456250P-C-456250P-C-456250P-C-456301P-455005P-C-453605P-C-452260P-450970P-452313P-453658P-C-453605P-C-454901P-456301P-C-457601P-457652P-457705P-457760P-456354P-457705P-C-457705P-C-459058P-460468P-460525P-C-460525P-C-459229P-459290P-457937P-456525P-455237P-456649P-456714P-458000P-457937P-C-459353P-459290P-C-457876P-457817P-459170P-457876P-C-457937P-C-456586P-457876P-C-457876P-C-456525P-C-456525P-C-457876P-C-457876P-C-459170P-C-457876P-C-456586P-C-458000P-C-459290P-C-459353P-C-460773P-460840P-462130P-C-460773P-C-460773P-C-462197P-C-462266P-460909P-459554P-C-459485P-C-459554P-C-460840P-C-459418P-459353P-C-460708P-460645P-462002P-463300P-464602P-464545P-465908P"
19,481741.0,60,96,5,103.2253967444161,4.9594723E7,66,14.212670403551895,1.0752645494210011,7324.068571240424,0.9504950495049505,17,76411.0,1.1312679113700117,"501665P-502738P-504740P-504594P-C-505525P-504452P-503521P-501521P-501665P-C-499669P-501665P-C-502738P-C-502592P-502738P-C-502592P-C-501521P-C-500452P-501381P-C-500314P-498320P-499249P-497257P-496196P-498186P-C-498056P-497125P-497257P-C-497257P-C-496330P-496196P-C-495269P-493285P-493421P-493561P-493421P-C-492362P-490384P-489329P-488276P-487357P-C-487357P-C-487225P-487357P-C-488410P-488548P-490522P-489465P-488548P-C-488548P-C-487633P-485665P-C-483701P-484612P-483561P-483701P-C-481741P-482650P-C-482792P-483845P-482938P-C-483088P-482938P-C-483993P-485050P-484900P-486866P-487016P-485050P-C-486109P-C-486265P-487170P-C-487170P-C-487016P-C-486109P-C-485957P-487925P-487016P-C-485957P-C-485809P-C-484754P-484612P-C-485525P-485389P-484340P-483425P-483293P-483165P-484210P-C-483293P-C-482248P"
20,576481.0,52,92,9,101.15432893255064,5.8888775E7,51,12.529964086141668,1.0995035753538114,4703.539479116205,0.9108910891089109,20,95536.0,1.2070637077253799,"595370P-596833P-595370P-C-594404P-593909P-593416P-592925P-590977P-590490P-591464P-C-591464P-C-591464P-C-590005P-C-588065P-587584P-586129P-586610P-586129P-C-587584P-C-587584P-C-585650P-585173P-584197P-582269P-584197P-C-582746P-581297P-579373P-578898P-579373P-C-580820P-C-579850P-579373P-C-578898P-C-577928P-578898P-C-579373P-C-581297P-C-579373P-C-578405P-579850P-C-580329P-579850P-C-581776P-C-579850P-C-579850P-C-578405P-C-577441P-576481P-577922P-577441P-C-579365P-578405P-577449P-578890P-579848P-578405P-C-580333P-581293P-581778P-580333P-C-580333P-C-582265P-582754P-581309P-579866P-579377P-577936P-579866P-C-580357P-C-581309P-C-581309P-C-581800P-582754P-C-582754P-C-582265P-C-581778P-C-582265P-C-583225P-581293P-C-582257P-581293P-C-582257P-C-581776P-C-581297P-C-581776P-C-581297P-C-583225P-582746P-C-582746P-C-584676P-C-582746P-C-582746P-C-580820P-C-582746P-C"
21,350874.0,89,95,6,97.66904755831209,3.6374561E7,52,13.92838827718412,1.0280952374559167,5637.993307554194,0.9405940594059405,24,71979.0,1.0930275682426063,"367568P-369130P-369557P-369986P-368849P-368145P-369713P-370417P-369280P-368578P-367012P-365881P-C-366581P-366152P-C-365021P-365450P-365021P-C-365450P-C-365450P-C-365881P-C-364321P-363194P-362765P-C-363892P-363194P-C-364752P-C-363625P-363194P-C-363892P-C-362765P-C-362765P-C-363892P-C-363465P-363892P-C-362338P-362765P-C-363892P-C-362338P-C-361913P-361490P-363040P-364169P-363465P-C-362338P-C-362338P-C-360788P-360365P-360788P-C-359665P-360788P-C-361913P-C-361913P-C-361913P-C-361913P-C-361213P-359665P-C-360365P-C-359665P-C-358121P-357700P-356581P-355464P-355885P-355464P-C-354349P-C-355045P-C-354349P-C-354770P-353657P-354080P-C-354770P-C-353236P-352817P-352125P-352546P-352125P-C-352546P-C-353236P-C-352817P-C-351706P-351289P-351985P-350874P-352400P-351706P-C-352125P-C-353236P-C-352546P-C-352546P-C-353236P-C-353236P-C-353236P-C-354770P-C-355193P"
22,180706.0,64,97,4,102.2253967444161,1.8791634E7,54,15.620499351813308,1.053870069530063,3584.335509081506,0.9603960396039604,17,53130.0,1.0973286290983129,"189666P-190537P-C-190537P-C-191410P-192285P-193162P-192285P-C-191369P-192205P-192244P-192285P-C-193121P-193162P-C-193121P-C-192205P-C-191293P-191258P-C-191258P-C-192100P-191194P-190352P-189481P-C-188645P-187813P-186948P-187778P-186913P-186050P-186017P-C-186017P-C-186880P-187745P-C-187714P-186820P-186849P-186820P-C-185957P-185986P-185957P-C-186793P-185905P-C-185021P-185000P-184122P-183248P-182410P-182393P-183265P-182393P-C-183248P-C-183265P-C-184105P-183265P-C-184141P-184122P-C-183284P-182450P-181576P-180706P-181576P-C-181557P-181540P-181525P-C-181525P-C-182393P-C-181525P-C-182365P-183233P-184077P-183233P-C-182393P-C-183248P-C-183248P-C-184105P-C-183265P-C-184105P-C-184105P-C-184122P-C-184141P-C-183265P-C-182429P-C-183265P-C-184122P-C-184964P-185842P-185000P-C-184122P-C-184141P-C-184162P-184141P-C-183284P-C-183284P-C-183284P-C"
23,5858.0,0,100,1,116.78174593052013,721361.0,61,0.0,1.1678174593052013,599.8589720871822,0.9900990099009901,0,12261.0,1.1794956338982534,"5858P-C-5933P-6068P-5858P-C-5993P-6205P-6344P-6282P-6224P-6170P-6388P-6473P-6525P-6581P-6361P-6224P-C-6282P-C-6205P-C-6421P-6485P-6553P-6698P-6920P-6994P-7220P-C-7146P-6920P-C-7146P-C-7076P-7010P-7240P-7093P-7010P-C-7093P-C-7157P-7225P-7076P-C-7225P-C-7306P-7157P-C-7389P-7157P-C-7389P-C-7157P-C-7010P-C-7240P-C-7306P-C-7376P-7610P-7529P-7684P-7605P-7373P-7220P-C-7145P-6921P-6772P-6921P-C-6921P-C-7001P-7154P-7380P-7466P-C-7380P-C-7380P-C-7298P-7373P-C-7297P-7225P-C-7157P-C-7093P-C-7157P-C-7157P-C-7076P-C-7157P-C-7076P-C-7225P-C-7457P-7529P-C-7610P-C-7765P-7841P-8000P-8242P-8325P-8164P-8090P-7933P-7778P-7625P-7865P-7933P-C-8005P-8164P-C-8242P-C-8324P-8082P-7921P"
24,362933.0,98,89,12,98.91168824543136,3.7303241E7,52,4.123105625617661,1.1113672836565323,2653.748352131295,0.8811881188118812,7,78492.0,1.261214557857413,"367812P-368378P-369473P-368378P-C-368948P-369473P-C-370045P-371669P-372196P-C-372725P-373826P-374929P-C-374357P-373256P-371626P-372157P-371626P-C-370529P-369434P-371060P-C-371593P-371033P-370498P-372128P-370498P-C-371033P-C-369405P-C-369405P-C-369965P-C-369405P-C-370498P-C-371060P-C-371060P-C-370498P-C-371060P-C-369965P-C-369965P-C-370529P-C-371626P-C-373256P-C-371626P-C-371626P-C-372725P-C-371626P-C-371097P-370570P-369473P-C-370570P-C-372196P-C-372770P-C-371144P-370045P-C-368948P-C-367853P-367330P-C-366237P-364625P-364106P-364625P-C-365146P-364057P-364625P-C-366237P-C-365716P-366290P-367385P-367965P-366868P-367385P-C-368482P-C-367965P-C-367965P-C-369581P-370682P-C-369064P-C-369581P-C-369001P-369522P-369001P-C-367904P-366290P-C-367904P-C-367330P-C-366760P-C-365669P-365105P-364018P-362933P-364018P-C-364580P"
