Run,BestObjectiveValue,BestSolutionX,BestSolutionY,NumberAcceptedMoves,NumberRejectedMoves,BestIteration,TotalIterations,DistinctPointsVisited,ExplorationExploitationRatio,StandardDeviationFromOptimum,ConvergenceRelation,GeneralDiversityMeasure,Count_S,Count_M,Count_I,Count_P,Count_L,Count_X,Count_A,Count_U,Count_J,Count_C,MeanObjectiveValue,StdObjectiveValue,MeanDeviationFromOptimum,StdDeviationFromOptimum,FinalEntropy,MeanEntropy,StdEntropy,BestObjectiveValue_inverted,ConvergenceRelation_inverted,StandardDeviationFromOptimum_inverted,MeanObjectiveValue_inverted,MeanDeviationFromOptimum_inverted,BestObjectiveValue_inverted_z,ConvergenceRelation_inverted_z,StandardDeviationFromOptimum_inverted_z,MeanObjectiveValue_inverted_z,MeanDeviationFromOptimum_inverted_z,NumberAcceptedMoves_z,DistinctPointsVisited_z,CompositeScore
949,0.0,0,0,248,252,28,500,79,0.3185483870967742,16.876304044683856,0.056,4.445117748534866,0,0,0,55,17,0,1,0,9,43,9.55688622754491,16.876304044683856,9.55688622754491,16.876304044683856,2.584322620480157,2.9246137530760397,0.33757624621997995,-0.0,-0.056,-16.876304044683856,-9.55688622754491,-9.55688622754491,,1.07250498096694,2.279210975945981,2.032835733131208,2.032835733131208,1.7200601535541638,-1.7945297749812255,7.342917801748274
560,0.0,0,0,261,239,31,500,89,0.34099616858237547,21.465067447400024,0.062,5.781733937314991,0,0,0,61,20,0,1,0,11,50,12.085828343313374,21.465067447400024,12.085828343313374,21.465067447400024,2.8219501357612784,2.9367190908107137,0.2286563307401394,-0.0,-0.062,-21.465067447400024,-12.085828343313374,-12.085828343313374,,0.9480459471242656,1.4453803032401393,1.448171048060675,1.448171048060675,2.918708344184243,-0.9536067314098922,7.254869959260106
218,0.0,0,0,229,271,26,500,81,0.3537117903930131,15.103222775877207,0.052,3.890538284708029,0,0,0,52,18,0,1,0,10,40,7.908183632734531,15.103222775877207,7.908183632734531,15.103222775877207,2.598796375971843,2.6092726321609807,0.2311592614349315,-0.0,-0.052,-15.103222775877207,-7.908183632734531,-7.908183632734531,,1.1554776701953897,2.6014000751390345,2.4139983454976326,2.4139983454976326,-0.031810278905182766,-1.6263451662669588,6.9267189911575455
925,0.0,0,0,232,268,0,500,84,0.3620689655172414,17.384752188253287,0.0,5.317811482822778,0,0,0,56,19,0,1,0,10,42,11.043912175648703,17.384752188253287,11.043912175648703,17.384752188253287,3.1673767056459345,3.0617731095773806,0.27029247551007923,-0.0,-0.0,-17.384752188253287,-11.043912175648703,-11.043912175648703,,2.234122630165235,2.1868201463517623,1.689051052485946,1.689051052485946,0.2448008420094509,-1.3740682531955588,6.669777470302779
661,0.0,0,0,238,262,41,500,113,0.47478991596638653,19.917836535880866,0.082,6.484894482492102,0,0,0,69,30,0,1,0,13,56,13.065868263473053,19.917836535880866,13.065868263473053,19.917836535880866,3.225600483764349,3.018343970108629,0.27111660168963064,-0.0,-0.082,-19.917836535880866,-13.065868263473053,-13.065868263473053,,0.5331825009820174,1.7265298153330144,1.2215961779978248,1.2215961779978248,0.7980230838387182,1.0646085731613075,6.565536329310707
165,0.0,0,0,245,255,34,500,92,0.37551020408163266,19.078440097301154,0.068,5.461440392667758,0,0,0,64,20,0,1,0,10,50,11.688622754491018,19.078440097301154,11.688622754491018,19.078440097301154,2.9865697151985278,3.0770432161132795,0.30799372078377285,-0.0,-0.068,-19.078440097301154,-11.688622754491018,-11.688622754491018,,0.8235869132815911,1.8790577265854265,1.54000078154847,1.54000078154847,1.4434490326395302,-0.7013298183384922,6.5247654172649945
927,0.0,0,0,232,268,14,500,80,0.3448275862068966,16.632861122346405,0.028,4.689311994772929,0,0,0,50,23,0,1,0,10,40,9.702594810379242,16.632861122346405,9.702594810379242,16.632861122346405,3.025196706877284,3.003022413468435,0.31286330170866217,-0.0,-0.028,-16.632861122346405,-9.702594810379242,-9.702594810379242,,1.6533138055660874,2.3234473328647005,1.999149448987444,1.999149448987444,0.2448008420094509,-1.7104374706240921,6.509423407791034
835,0.0,0,0,255,245,30,500,101,0.396078431372549,23.525880682436007,0.06,6.889868964665481,0,0,0,62,28,0,1,0,9,53,13.998003992015969,23.525880682436007,13.998003992015969,23.525880682436007,2.7505160418904224,2.823814040007919,0.2792091878883345,-0.0,-0.06,-23.525880682436007,-13.998003992015969,-13.998003992015969,,0.9895322917384904,1.0709070224704178,1.0060962506671705,1.0060962506671705,2.365486102354976,0.0555009208757077,6.493618838773933
261,0.0,0,0,247,253,11,500,88,0.3562753036437247,23.680039441502704,0.022,5.645694638666779,0,0,0,62,20,0,1,0,7,37,11.72055888223553,23.680039441502704,11.72055888223553,23.680039441502704,2.633940220932233,2.8784800970756934,0.27853030648448307,-0.0,-0.022,-23.680039441502704,-11.72055888223553,-11.72055888223553,,1.7777728394087617,1.0428946168406146,1.5326174863936723,1.5326174863936723,1.6278564465826193,-1.0376990357670255,6.476059839852314
192,0.0,0,0,231,269,58,500,94,0.4069264069264069,14.192073230150339,0.116,4.645806192007203,0,0,0,66,20,0,1,0,13,49,9.52694610778443,14.192073230150339,9.52694610778443,14.192073230150339,3.1554111007057295,3.128214425165652,0.30735307919073684,-0.0,-0.116,-14.192073230150339,-9.52694610778443,-9.52694610778443,,-0.1720853574598045,2.7669663447356214,2.039757572338831,2.039757572338831,0.15259713503790634,-0.5331452096242255,6.29384805736716
