Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
23,0.0,1654,4667,334,4943.966229989501,840089.0,812,68.59300255857006,1.0593456674500752,449.08491457441573,0.9332133573285343,86,57218.0,1.1351591349727503
24,0.0,647,4730,271,5053.8951621776505,672147.0,867,46.389654018972806,1.0684767784730762,251.80939647126084,0.9458108378324335,69,56543.0,1.1296939469648741
25,0.0,1007,4673,328,4910.941843371865,620608.0,859,44.10215414239989,1.050918434276025,208.7579235801654,0.9344131173765247,62,53825.0,1.1246828781969616
26,0.0,542,4663,338,4935.7235893023835,594845.0,820,38.07886552931954,1.0584867229900028,154.7552272509339,0.9324135172965407,58,57172.0,1.135211688113447
27,0.0,385,4689,312,4989.58145367865,481188.0,699,15.231546211727817,1.0641035303217423,88.4700182104275,0.937612477504499,21,54056.0,1.1349076039963817
28,0.0,1103,4674,327,4972.054541744072,523610.0,832,14.0,1.0637686225383123,96.83044144275406,0.9346130773845231,18,54061.0,1.138191459416795
29,0.0,920,4693,308,4948.836287674592,728478.0,909,54.120236510939236,1.0545144444224575,285.70854460236495,0.9384123175364927,77,59116.0,1.1237218701378031
30,0.0,741,4680,321,4963.669765433219,748118.0,885,48.46648326421054,1.060613197742141,256.94313245814163,0.9358128374325135,66,58775.0,1.1333603850231724
31,0.0,314,4694,307,4996.3337623576535,521761.0,766,37.0,1.0644085561051668,134.97541081136245,0.9386122775444911,55,54534.0,1.1340236874908265
32,0.0,890,4681,320,4990.208870676623,616702.0,878,41.036569057366385,1.0660561569486482,167.1504598709047,0.9360127974405119,53,58534.0,1.1389333135868809
33,0.0,1551,4718,283,5029.623084238996,592156.0,840,39.66106403010388,1.0660498270960144,187.80359064120515,0.9434113177364527,62,56914.0,1.1299947404211885
34,0.0,330,4667,334,4973.895162177636,697731.0,921,43.965895873961216,1.0657585519986363,232.36161070958053,0.9332133573285343,65,58617.0,1.142030966047821
35,0.0,1206,4676,325,4977.125609555939,752255.0,836,45.803929962395145,1.064398120093229,260.1537948887967,0.9350129974005199,69,61267.0,1.1383778867806327
36,0.0,386,4681,320,4939.971280623375,539265.0,912,9.848857801796104,1.0553239223720092,110.50839135021509,0.9360127974405119,12,53953.0,1.12746740777236
37,0.0,739,4662,339,4974.167240116282,891629.0,925,57.62811813689564,1.0669599399648826,355.47330778314506,0.9322135572885423,83,64330.0,1.1445445430640022
38,0.0,309,4680,321,4935.900212811521,747443.0,840,49.09175083453431,1.0546795326520344,293.6173409662104,0.9358128374325135,64,59160.0,1.127019731365988
39,0.0,715,4673,328,4942.2088706766135,595626.0,761,45.5411901469428,1.0576094309173152,215.80829566075715,0.9344131173765247,68,53402.0,1.1318435189423268
40,0.0,1040,4661,340,4958.451511363742,543306.0,877,23.769728648009426,1.0638171017729547,99.26106004890772,0.9320135972805439,36,57160.0,1.1414180060001173
41,0.0,177,4679,322,4983.694152050856,476550.0,755,6.324555320336759,1.0651195024686593,84.33262202555588,0.935612877424515,7,53833.0,1.1384190279644721
42,0.0,1169,4636,365,4931.669765433222,783371.0,892,45.5411901469428,1.063776912302248,199.0765665210391,0.9270145970805839,68,65575.0,1.1475298400395908
43,0.0,1032,4675,326,4914.297182431188,679527.0,846,46.09772228646444,1.051186563086885,235.88127304373253,0.9348130373925215,78,57741.0,1.124488556577008
44,0.0,1803,4679,322,4921.155046807457,608848.0,842,28.635642126552707,1.05175358982848,124.41271231407562,0.935612877424515,37,57410.0,1.1241332982971208
45,0.0,905,4703,298,5012.978423298327,502468.0,760,21.0,1.0659107853068948,115.8710650988632,0.9404119176164767,31,53344.0,1.133450954139864
46,0.0,1475,4680,321,4937.498192557961,537694.0,710,10.04987562112089,1.0550209813158038,100.1143604770819,0.9358128374325135,13,56952.0,1.1273845999060543
47,0.0,1077,4693,308,4944.142853498644,622969.0,833,38.0,1.0535143519068069,180.3701877329363,0.9384123175364927,59,56938.0,1.122656141889184
48,0.0,802,4658,343,4932.78246380543,771917.0,846,38.3275357934736,1.0589915121952405,187.12686660460955,0.9314137172565486,54,64461.0,1.1369722096368393
49,0.0,1159,4700,301,4987.392636860702,595466.0,779,45.12205669071391,1.0611473695448301,199.57247593286274,0.9398120375924816,63,55477.0,1.1291059564029138
50,0.0,486,4713,288,5053.564209735961,592343.0,823,35.6931365951495,1.0722606004107704,185.02105841278134,0.9424115176964607,47,55640.0,1.137783845248093
