Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
1,0.0,1416,4690,311,4985.605840296304,667829.0,861,36.40054944640259,1.0630289638158432,179.30888150478881,0.9378124375124975,52,60146.0,1.1335197970241007
2,0.0,1247,4658,343,4945.468755306448,807157.0,984,46.61544808322666,1.0617150612508475,258.99764847357744,0.9314137172565486,74,63243.0,1.1398963120041838
3,0.0,270,4692,309,5001.108365613239,625622.0,795,37.12142238654117,1.0658798733191046,166.96468153666376,0.9382123575284943,48,57417.0,1.136075286971194
4,0.0,1952,4663,338,4964.451511363737,630512.0,805,37.94733192202055,1.0646475469362506,157.32382490956317,0.9324135172965407,52,60320.0,1.1418190826138086
5,0.0,1431,4700,301,4978.20887067662,577802.0,803,41.0,1.0591933767397064,175.9670303773756,0.9398120375924816,61,54610.0,1.1270268249096322
6,0.0,2721,4690,311,5001.5053352329,844649.0,847,52.773099207835045,1.0664190480240725,353.8620402324319,0.9378124375124975,87,60392.0,1.1371346821254555
7,0.0,1423,4660,341,4980.096172304415,828631.0,848,53.81449618829484,1.0686901657305612,372.4485719963088,0.9318136372725455,85,60621.0,1.146892600604836
8,0.0,1374,4685,316,4954.924599429165,782907.0,886,55.44366510251645,1.0576146423541442,355.6199280606265,0.9368126374725055,75,58205.0,1.1289500163101547
9,0.0,732,4640,361,4916.480948615259,792033.0,868,39.56008088970496,1.0595864113394955,217.6965182273472,0.9278144371125775,58,64183.0,1.1420240610148313
10,0.0,925,4683,318,4923.870775559994,722781.0,863,50.20956084253277,1.0514351431902615,252.07755054062574,0.9364127174565087,74,58763.0,1.122833045290305
11,0.0,933,4681,320,5001.078928361716,958231.0,930,50.60632371551998,1.0683783226579184,379.76092945063556,0.9360127974405119,78,61938.0,1.1414142259372464
12,0.0,385,4665,336,4973.753026553912,690388.0,853,46.69047011971501,1.0661850003331002,218.37607441870594,0.9328134373125375,64,59641.0,1.1429777463377992
13,0.0,647,4649,352,4926.711395993561,727784.0,908,47.43416490252569,1.0597357272517878,211.2895468979423,0.9296140771845631,61,62342.0,1.1399738378116133
14,0.0,1063,4642,359,4891.557067061006,987086.0,973,49.73932046178355,1.053760677953685,314.99056253291764,0.9282143571285743,76,69868.0,1.1352557411560489
15,0.0,471,4665,336,4994.52257917561,552918.0,822,16.401219466856727,1.0706372088264973,136.07014827454262,0.9328134373125375,23,53959.0,1.1477506283689844
16,0.0,370,4692,309,4945.096172304412,492977.0,795,18.439088914585774,1.0539420657085277,106.43689284371385,0.9382123575284943,21,51094.0,1.1233512938210457
17,0.0,452,4615,386,4878.586504312529,1005253.0,1066,55.072679252057455,1.05711516886512,352.8943028926067,0.9228154369126175,78,68898.0,1.1455326022739902
18,0.0,1226,4666,335,4938.753026553909,748600.0,1016,20.615528128088304,1.0584554278941083,129.41843181370086,0.9330133973205359,28,66288.0,1.134448262944371
19,0.0,1650,4612,389,4871.770270496599,1036863.0,1062,47.70744176750625,1.0563248635075018,321.2861898142235,0.9222155568886222,67,72305.0,1.145420781093022
20,0.0,303,4654,347,4897.042348435251,673905.0,801,24.515301344262525,1.0522222493414808,118.66465706322838,0.9306138772245551,29,63545.0,1.1306754338110754
21,0.0,387,4688,313,4925.397687494575,702536.0,801,49.0,1.0506394384587403,306.2277487858539,0.9374125174965007,72,54910.0,1.1207866535264848
22,0.0,1159,4681,320,5010.208870676625,814427.0,923,52.354560450833695,1.0703287482752886,295.31819478193154,0.9360127974405119,75,63914.0,1.143497985499833
