Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
1,1.0,373,472,29,501.0853531617399,101174.0,214,23.021728866442675,1.0616215109358895,140.79320798756103,0.9421157684630739,33,7462.0,1.1268482563111877
2,1.0,338,472,29,488.4284989122475,39187.0,177,18.681541692269406,1.0348061417632362,50.7064520775581,0.9421157684630739,22,5149.0,1.0983853326766553
3,1.0,265,458,43,491.15642097360546,205300.0,218,47.042533945356304,1.0723939322567806,598.7670529756531,0.9141716566866267,67,8613.0,1.173077205372592
4,0.0,332,476,25,501.11479041326265,22802.0,173,5.385164807134504,1.052762164733745,36.63482101928567,0.9500998003992016,9,3739.0,1.108054295234467
5,45.0,249,443,58,482.0853531617398,214617.0,199,47.29693436154187,1.0882287881754849,498.0140233630626,0.8842315369261478,61,10467.0,1.2307056949794986
6,4.0,318,444,57,468.499566724113,172025.0,211,34.539832078341085,1.0551792043335877,343.0461462421054,0.8862275449101796,49,9252.0,1.1906413994845213
7,13.0,263,477,24,495.81327522309783,38826.0,164,13.0,1.0394408285599535,39.801885769349816,0.9520958083832335,14,5220.0,1.091739738173033
8,8.0,293,459,42,501.29855659733647,64043.0,167,10.770329614269007,1.0921537180769858,92.66293928562015,0.9161676646706587,18,6239.0,1.1920893524108276
9,0.0,279,455,46,473.8721497261433,148913.0,233,34.785054261852174,1.04147725214537,286.1343958674599,0.908183632734531,50,8516.0,1.14676945785677
10,0.0,369,470,31,491.25692603699366,59018.0,213,19.4164878389476,1.0452275022063695,99.15797231133021,0.93812375249501,30,5943.0,1.1141680395859386
11,4.0,486,431,70,444.73001410241227,404372.0,225,52.952809179494906,1.0318561812120934,831.6259913895328,0.8602794411177644,76,12357.0,1.1994430319889997
12,45.0,483,436,65,458.5290039756357,369270.0,201,40.52159917870962,1.0516720274670543,651.666172248176,0.8702594810379242,55,12855.0,1.2084579948646657
13,1.0,212,464,37,500.1858582251281,116346.0,250,18.35755975068582,1.0779867634162243,161.19476608913646,0.9261477045908184,23,8361.0,1.1639469148093284
14,0.0,353,465,36,499.8843430349633,128067.0,257,37.48332962798263,1.0750200925483082,298.1551181051451,0.9281437125748503,51,7975.0,1.1582474545520483
15,5.0,463,419,82,421.3452377915619,796915.0,214,66.46803743153546,1.0055972262328445,1368.793142519824,0.8363273453093812,96,15270.0,1.2023966833953583
16,1.0,372,448,53,456.34523779156194,234548.0,218,44.384682042344295,1.0186277629275937,532.6662630161466,0.8942115768463074,72,9391.0,1.1391350652382242
17,0.0,118,482,19,494.7716446627552,27220.0,182,17.88854381999832,1.0264971880970024,59.968870800423026,0.9620758483033932,26,3801.0,1.0669607702004111
18,1.0,140,461,40,488.8427124746206,92287.0,202,13.038404810405298,1.0603963394243396,156.14641923599194,0.9201596806387226,15,7410.0,1.1524046985934797
19,0.0,398,447,54,485.4701294725904,295633.0,242,47.75981574503821,1.0860629294688822,693.4325441110317,0.8922155688622755,72,10890.0,1.2172651625590827
20,74.0,383,460,41,497.6711395993668,156744.0,206,18.110770276274835,1.0818937817377539,162.54083777967844,0.9181636726546906,22,10616.0,1.1783234448926407
21,0.0,389,464,37,489.94321753800887,92240.0,229,22.561028345356956,1.0559121067629502,159.86678424122587,0.9261477045908184,33,6943.0,1.14011199458672
22,0.0,318,453,48,483.15642097360546,201402.0,232,43.41658669218482,1.0665704657253983,493.98115473925213,0.9041916167664671,59,9467.0,1.1795845548088841
23,36.0,491,440,61,466.52900397563576,261202.0,197,32.28002478313795,1.0602931908537176,371.9261285891464,0.8782435129740519,45,11951.0,1.207288383222074
24,0.0,277,461,40,487.49956672411315,168427.0,232,37.21558813185679,1.057482791158597,382.76460058786705,0.9201596806387226,51,8327.0,1.149238347875178
25,1.0,497,450,51,467.70057685088966,114943.0,184,25.495097567963924,1.0393346152241993,175.73638958504853,0.8982035928143712,35,8001.0,1.1571258716162753
26,13.0,495,442,59,464.80108191427774,251125.0,210,45.967379738244816,1.0515861581770989,615.3947036951897,0.8822355289421158,64,9954.0,1.1919562562143133
