Run,Best Value,Best Iteration,Total Accepted Moves,Total Rejected Moves,Total Distance Traveled,Total Deviation from Optimum,Distinct Positions Visited,End-to-End Distance,Average Move Distance,Standard Deviation Objective,Acceptance Rate,Best Solution Improvements,Total Function Value Change,Exploration-Exploitation Ratio
1,593.0,7,10,1,10.65685424949238,7218.0,6,2.0,1.065685424949238,43.266233278952775,0.9090909090909091,3,433.0,1.1722539674441619
2,2601.0,7,10,1,7.656854249492381,29783.0,7,4.242640687119285,0.7656854249492381,132.43548249919047,0.9090909090909091,5,524.0,0.8422539674441619
3,530.0,7,11,0,10.65685424949238,6445.0,6,2.23606797749979,0.9688049317720345,34.32055982128323,1.0,3,335.0,0.9688049317720345
4,1061.0,9,11,0,8.65685424949238,13402.0,8,5.0,0.7869867499538526,106.19816188040573,1.0,6,377.0,0.7869867499538526
5,3130.0,8,9,2,6.414213562373095,36690.0,7,5.0,0.7126903958192328,144.09237165876593,0.8181818181818182,4,493.0,0.8710660393346178
6,2105.0,6,9,2,8.242640687119284,24203.0,6,2.0,0.915848965235476,50.196144200147316,0.8181818181818182,4,366.0,1.1193709575100261
7,1544.0,10,11,0,11.485281374238573,21210.0,9,6.708203932499369,1.044116488567143,205.67530376424,1.0,7,689.0,1.044116488567143
8,512.0,9,11,0,9.242640687119286,6308.0,7,2.23606797749979,0.8402400624653896,37.97933322303218,1.0,3,179.0,0.8402400624653896
9,1024.0,8,11,0,10.242640687119286,12343.0,8,4.0,0.9311491533744806,82.84975947236117,1.0,4,410.0,0.9311491533744806
10,901.0,10,9,2,8.242640687119284,10877.0,7,4.0,0.915848965235476,58.35598930361223,0.8181818181818182,3,270.0,1.1193709575100261
11,1224.0,10,9,2,8.242640687119286,14554.0,6,2.0,0.9158489652354762,64.81225269324894,0.8181818181818182,3,524.0,1.1193709575100264
12,788.0,2,11,0,11.485281374238571,9581.0,8,2.23606797749979,1.0441164885671428,52.06639118384422,1.0,2,435.0,1.0441164885671428
13,2420.0,0,8,3,7.242640687119285,27246.0,4,0.0,0.9053300858899106,46.93216486774879,0.7272727272727273,0,399.0,1.244828868098627
14,17.0,1,11,0,11.071067811865476,269.0,5,1.4142135623730951,1.0064607101695886,6.372720788480685,1.0,1,84.0,1.0064607101695886
15,2594.0,10,10,1,9.414213562373096,30392.0,9,5.0990195135927845,0.9414213562373096,101.45348647215319,0.9090909090909091,6,606.0,1.0355634918610406
16,200.0,0,10,1,7.82842712474619,2746.0,8,0.0,0.782842712474619,41.79445967474795,0.9090909090909091,0,149.0,0.861126983722081
17,3809.0,3,8,3,8.242640687119286,42665.0,5,1.4142135623730951,1.0303300858899107,66.54495777261172,0.7272727272727273,2,418.0,1.4167038680986273
18,1908.0,10,6,5,4.414213562373095,21827.0,4,2.23606797749979,0.7357022603955158,47.85601683286479,0.5454545454545454,3,191.0,1.348787477391779
19,1522.0,6,9,2,8.071067811865476,18148.0,6,3.605551275463989,0.8967853124294973,82.49277453959026,0.8181818181818182,3,487.0,1.09607093741383
20,2314.0,5,8,3,8.242640687119284,27289.0,6,2.23606797749979,1.0303300858899105,85.30034443266088,0.7272727272727273,4,498.0,1.4167038680986268
21,2468.0,10,9,2,9.485281374238571,29989.0,8,4.123105625617661,1.0539201526931745,131.85535526001135,0.8181818181818182,4,417.0,1.2881246310694354
22,1885.0,8,10,1,6.242640687119285,22094.0,5,2.23606797749979,0.6242640687119285,57.842047675880586,0.9090909090909091,2,296.0,0.6866904755831214
23,778.0,7,11,0,12.071067811865476,10008.0,10,5.0,1.0973698010786797,90.99432368092397,1.0,5,549.0,1.0973698010786797
24,2437.0,0,10,1,5.0,27616.0,5,0.0,0.5,43.11794318834548,0.9090909090909091,0,147.0,0.55
25,481.0,0,9,2,9.242640687119286,5866.0,6,0.0,1.0269600763465874,41.98287726527417,0.8181818181818182,0,275.0,1.255173426645829
26,1802.0,5,8,3,8.071067811865476,21099.0,6,4.123105625617661,1.0088834764831844,115.46936196982735,0.7272727272727273,4,447.0,1.3872147801643786
27,2561.0,10,11,0,10.071067811865476,31166.0,8,3.605551275463989,0.9155516192604978,113.69264061022429,1.0,3,843.0,0.9155516192604978
28,2309.0,3,9,2,10.071067811865476,27180.0,7,2.23606797749979,1.1190075346517194,105.88712218503296,0.8181818181818182,3,573.0,1.3676758756854348
29,392.0,8,10,1,7.82842712474619,4740.0,7,3.1622776601683795,0.782842712474619,36.85463963749906,0.9090909090909091,4,259.0,0.861126983722081
30,37.0,5,11,0,11.071067811865477,600.0,7,3.1622776601683795,1.0064607101695888,12.426976787059502,1.0,3,118.0,1.0064607101695888
31,1717.0,8,8,3,6.656854249492381,20029.0,6,4.47213595499958,0.8321067811865476,78.03125036200466,0.7272727272727273,4,305.0,1.144146824131503
32,865.0,10,10,1,9.65685424949238,10999.0,9,5.0990195135927845,0.9656854249492379,106.24196615227349,0.9090909090909091,8,324.0,1.0622539674441618
33,1325.0,10,8,3,8.071067811865476,16340.0,7,6.082762530298219,1.0088834764831844,101.231834407565,0.7272727272727273,6,341.0,1.3872147801643786
34,2250.0,0,8,3,6.242640687119285,25469.0,5,0.0,0.7803300858899106,65.85696998699353,0.7272727272727273,0,212.0,1.072953868098627
35,1385.0,1,10,1,9.65685424949238,15874.0,6,1.4142135623730951,0.9656854249492379,52.63502903002653,0.9090909090909091,1,382.0,1.0622539674441618
36,225.0,10,11,0,10.071067811865476,3635.0,8,5.0,0.9155516192604978,50.994409027521,1.0,4,267.0,0.9155516192604978
37,1508.0,0,9,2,9.65685424949238,18276.0,8,0.0,1.0729838054991534,79.06540863724925,0.8181818181818182,0,726.0,1.3114246511656318
38,1810.0,10,8,3,7.242640687119286,21684.0,7,3.0,0.9053300858899107,91.45002699844615,0.7272727272727273,3,439.0,1.2448288680986273
39,1873.0,10,11,0,10.65685424949238,23223.0,9,5.0,0.9688049317720345,148.13127972530938,1.0,7,467.0,0.9688049317720345
40,2152.0,6,8,3,6.82842712474619,24340.0,5,1.4142135623730951,0.8535533905932737,57.81174921335141,0.7272727272727273,2,300.0,1.1736359120657514
41,74.0,0,10,1,9.656854249492381,1160.0,8,0.0,0.9656854249492381,19.68092586681853,0.9090909090909091,0,106.0,1.062253967444162
42,1165.0,5,7,4,7.0710678118654755,13515.0,5,3.1622776601683795,1.0101525445522108,68.91268880029243,0.6363636363636364,3,268.0,1.587382570010617
43,580.0,10,10,1,10.071067811865476,8113.0,9,6.4031242374328485,1.0071067811865475,79.90603986315158,0.9090909090909091,7,375.0,1.1078174593052024
44,916.0,10,9,2,8.242640687119284,10832.0,7,4.242640687119285,0.915848965235476,70.12468234780222,0.8181818181818182,6,244.0,1.1193709575100261
45,2770.0,9,8,3,6.65685424949238,34498.0,6,5.0,0.8321067811865475,208.3038943387622,0.7272727272727273,5,551.0,1.1441468241315027
46,2273.0,9,9,2,8.414213562373096,26265.0,6,1.0,0.9349126180414551,71.03531888381735,0.8181818181818182,2,547.0,1.1426709776062227
