Run,BestObjectiveValue,BestSolutionX,BestSolutionY,NumberAcceptedMoves,NumberRejectedMoves,BestIteration,TotalIterations,DistinctPointsVisited,ExplorationExploitationRatio,StandardDeviationFromOptimum,ConvergenceRelation,GeneralDiversityMeasure,Count_S,Count_M,Count_I,Count_P,Count_L,Count_X,Count_A,Count_U,Count_J,Count_C,MeanObjectiveValue,StdObjectiveValue,MeanDeviationFromOptimum,StdDeviationFromOptimum,FinalEntropy,MeanEntropy,StdEntropy,BestObjectiveValue_inverted,ConvergenceRelation_inverted,StandardDeviationFromOptimum_inverted,MeanObjectiveValue_inverted,MeanDeviationFromOptimum_inverted,BestObjectiveValue_inverted_z,ConvergenceRelation_inverted_z,StandardDeviationFromOptimum_inverted_z,MeanObjectiveValue_inverted_z,MeanDeviationFromOptimum_inverted_z,NumberAcceptedMoves_z,DistinctPointsVisited_z,CompositeScore
49,0.0,0,0,258,242,24,500,81,0.313953488372093,15.194186497916,0.048,3.963713291978917,0,0,0,55,16,0,1,0,9,37,8.113772455089821,15.194186497916,8.113772455089821,15.194186497916,2.7709340761604015,2.863670242488481,0.30814690021786234,-0.0,-0.048,-15.194186497916,-8.113772455089821,-8.113772455089821,,1.2316706116011797,2.5956537779077347,2.487736739956831,2.487736739956831,2.8090510064000447,-1.7673027839229594,9.844546091899662
296,0.0,0,0,241,259,19,500,78,0.3236514522821577,16.89099629252109,0.038,4.508846578300485,0,0,0,49,22,0,1,0,10,44,9.3812375249501,16.89099629252109,9.3812375249501,16.89099629252109,2.6884255358986904,2.8433537457669287,0.22098198481480014,-0.0,-0.038,-16.89099629252109,-9.3812375249501,-9.3812375249501,,1.4306352361167491,2.2825887211595024,2.1811254590605973,2.1811254590605973,1.1908244015609808,-2.0392513042229634,7.227047972735464
164,0.0,0,0,251,249,42,500,96,0.38247011952191234,20.40856447539119,0.084,5.50564340381114,0,0,0,70,19,0,1,0,10,46,12.321357285429142,20.40856447539119,12.321357285429142,20.40856447539119,2.9018292522586573,3.128669951539299,0.3660363860425595,-0.0,-0.084,-20.40856447539119,-12.321357285429142,-12.321357285429142,,0.5153979633451307,1.633589825533549,1.469883857863506,1.469883857863506,2.142722404407489,-0.407560182422939,6.823917726590241
217,0.0,0,0,243,257,33,500,87,0.35802469135802467,18.98251781838143,0.066,5.383492496045832,0,0,0,66,16,0,1,0,9,45,10.87624750499002,18.98251781838143,10.87624750499002,18.98251781838143,2.800999607910976,2.8073736799409046,0.2888180815466807,-0.0,-0.066,-18.98251781838143,-10.87624750499002,-10.87624750499002,,0.8735342874731552,1.8966985010149346,1.8194690033262988,1.8194690033262988,1.3812040021302825,-1.2234057433229513,6.56696905394802
2,0.0,0,0,252,248,41,500,103,0.4087301587301587,21.632968054140118,0.082,7.047123318233791,0,0,0,69,25,0,1,0,14,53,14.201596806387226,21.632968054140118,14.201596806387226,21.632968054140118,2.9861594545992207,2.99138418121636,0.3352436239210874,-0.0,-0.082,-21.632968054140118,-14.201596806387226,-14.201596806387226,,0.5551908882482445,1.4076847317024617,1.0150368868331874,1.0150368868331874,2.23791220469214,0.22698636494373717,6.457847963252959
368,0.0,0,0,243,257,45,500,115,0.4732510288065844,21.28830878365315,0.09,7.017960087808414,0,0,0,80,23,0,1,0,11,59,14.49500998003992,21.28830878365315,14.49500998003992,21.28830878365315,3.1576677932869597,3.135986484141158,0.3665402983909305,-0.0,-0.09,-21.28830878365315,-14.49500998003992,-14.49500998003992,,0.3960191886357893,1.4712751084299365,0.9440575824367363,0.9440575824367363,1.3812040021302825,1.3147804461437533,6.451393910213234
353,0.0,0,0,229,271,12,500,93,0.40611353711790393,19.045549434321035,0.024,5.5983163413691575,0,0,0,65,22,0,1,0,9,59,11.508982035928144,19.045549434321035,11.508982035928144,19.045549434321035,2.7769800123385573,2.8239723222578306,0.28241220493579205,-0.0,-0.024,-19.045549434321035,-11.508982035928144,-11.508982035928144,,1.7091857104385457,1.8850690323002888,1.6664047890836122,1.6664047890836122,0.04854679814517105,-0.6795087027229431,6.296102416328287
320,0.0,0,0,232,268,24,500,82,0.35344827586206895,17.484224227009083,0.048,4.813148154788228,0,0,0,61,14,0,1,0,10,47,9.738522954091817,17.484224227009083,9.738522954091817,17.484224227009083,2.902869472667255,2.9628926927957475,0.30230733527373566,-0.0,-0.048,-17.484224227009083,-9.738522954091817,-9.738522954091817,,1.2316706116011797,2.1731368912811018,2.0946948775166194,2.0946948775166194,0.3341161989991235,-1.6766532771562912,6.251660179758353
359,0.0,0,0,250,250,35,500,106,0.424,22.76578054496832,0.07,7.42420149720519,0,0,0,77,22,0,1,0,9,61,14.974051896207586,22.76578054496832,14.974051896207586,22.76578054496832,2.854675921866459,2.890985448477536,0.32554243902447794,-0.0,-0.07,-22.76578054496832,-14.974051896207586,-14.974051896207586,,0.7939484376669275,1.1986783905946914,0.8281730038302857,0.8281730038302857,2.0475326041228383,0.49893488524374124,6.195440325288771
238,0.0,0,0,238,262,49,500,120,0.5042016806722689,22.236741206199174,0.098,7.090481711228242,0,0,0,86,23,0,1,0,14,60,14.754491017964073,22.236741206199174,14.754491017964073,22.236741206199174,3.0976634392937563,3.1315434342951205,0.29247876789816274,-0.0,-0.098,-22.236741206199174,-14.754491017964073,-14.754491017964073,,0.2368474890233338,1.2962872865006443,0.8812867690249089,0.8812867690249089,0.9052550007070284,1.7680279799770935,5.9689912942579175
